name,highway,segments,length_km,predicted_risk,risk_low,risk_high,priority_score,severity,prevented_incidents_min,prevented_incidents_max,recommended_action,reported_crime
['North Broad Street'],primary,253,24.42049615097822,79.07865612648222,10.46582172397017,14.877731801612825,73,severe,4,73,full_intervention,16290.0
['Market Street'],primary,149,18.019337903457732,93.69530201342282,19.884329179614276,25.62266058733603,62,severe,10,62,full_intervention,21568.0
['Germantown Avenue'],primary,337,29.70226417468785,83.07062314540059,11.439006567409237,16.252386623703114,54,severe,0,54,full_intervention,12297.0
['North Front Street'],tertiary,157,18.291015964725272,70.23375796178344,11.065234229974212,15.74795524661462,50,severe,7,50,full_intervention,8287.0
['Spruce Street'],secondary,120,13.290959943290595,88.39166666666667,12.598091762994498,16.169658028969298,47,severe,6,47,full_intervention,5006.0
['North 5th Street'],tertiary,162,17.379399299669718,76.95679012345678,8.415199732001104,11.393624212166994,46,severe,3,46,add_patrols,6562.0
['Bustleton Avenue'],primary,225,27.635858816853933,64.50355555555555,7.297264502117027,9.46107805974134,38,severe,4,38,add_patrols,5806.0
['Frankford Avenue'],secondary,390,35.30315813861884,76.74333333333334,10.364328819776668,13.653340778570556,38,severe,10,38,add_patrols,14641.0
['Chestnut Street'],primary,72,8.991451168640996,90.22638888888889,15.691631536146682,20.400815990196683,38,severe,3,38,full_intervention,4728.0
['South Broad Street'],primary,131,14.963492259908506,68.78931297709923,10.05761075644724,13.9389074031433,36,severe,1,36,full_intervention,2931.0
['Spring Garden Street'],primary,100,11.008460827370676,84.736,11.966163823273703,16.182128127092493,36,severe,2,36,full_intervention,2808.0
['Ridge Avenue'],secondary,320,31.99510467949645,74.4415625,8.747244795896997,11.688829776850888,30,severe,2,30,add_patrols,8589.0
['Walnut Street'],primary,75,8.990365275027251,90.39466666666667,16.73472061998926,21.55899386427638,30,severe,2,30,full_intervention,4064.0
['Washington Avenue'],primary,110,10.528373159576612,74.81454545454545,9.44777379819906,12.536223539932331,29,severe,0,29,full_intervention,3948.0
['Cedar Avenue'],tertiary,45,5.852749388275158,90.47777777777777,12.362206456108632,14.912634335810193,28,severe,0,28,full_intervention,1596.0
['North 6th Street'],residential,127,15.956555637401369,59.45354330708662,6.818089191577512,9.154390853837649,27,severe,1,27,add_lighting,3573.0
['North 2nd Street'],tertiary,141,15.62670454799654,70.18014184397163,7.918438880934005,10.796474574876111,27,severe,4,27,add_patrols,4767.0
['West Hunting Park Avenue'],primary,114,13.036332815976717,75.62368421052632,9.647843408256753,14.847746571393046,25,severe,10,25,full_intervention,4754.0
['North 63rd Street'],primary,40,6.161005724045702,83.1075,11.048333725491913,14.204742762949286,24,severe,2,24,full_intervention,2654.0
['Aramingo Avenue'],primary,78,12.104958370816519,55.94230769230769,5.2679819460695025,7.888528805680625,22,severe,8,22,add_patrols,5202.0
['West Girard Avenue'],primary,266,20.119464518368407,71.20375939849625,9.679257307795663,13.225866629940096,22,severe,0,22,full_intervention,12261.0
['South Street'],secondary,46,5.0690045457611435,95.0695652173913,22.046521614867096,30.238319944991808,21,severe,5,21,full_intervention,1560.0
['North 9th Street'],residential,108,12.293986817352879,69.97592592592592,7.2366117023835255,10.388166138950433,21,severe,0,21,add_lighting_and_booth,3658.0
['Cottman Avenue'],primary,138,12.989339482498188,75.36666666666667,8.723289198801675,11.39835581537101,20,severe,0,20,add_patrols,6445.0
['Whitaker Avenue'],residential,100,11.511997588293822,53.299,5.521110965331299,7.686986419022573,20,severe,6,20,add_lighting,4199.0
['Castor Avenue'],secondary,226,22.31203465657834,70.05486725663717,7.479943953429892,10.101738778350812,20,severe,2,20,add_patrols,9047.0
['North 17th Street'],residential,136,13.045539970358542,71.44264705882354,8.601456929281563,11.552336540606925,20,severe,1,20,add_patrols,5015.0
['East Erie Avenue'],secondary,46,6.4850221504887555,80.76739130434783,9.082583178324224,12.556145555413847,20,severe,8,20,add_patrols,3268.0
['Haverford Avenue'],primary,172,13.626122529106501,74.70290697674419,8.610353620299481,11.251758634766416,19,severe,1,19,add_patrols,4939.0
['Rising Sun Avenue'],secondary,252,24.46161364976091,62.349603174603175,6.913998429844603,9.184906582596712,19,severe,4,19,add_patrols,6911.0
['Woodland Avenue'],primary,124,10.590956580722272,83.66532258064517,11.112876182461234,16.077150375053947,18,severe,1,18,full_intervention,6222.0
['Kelly Drive'],primary,39,15.483061125747668,41.98461538461539,3.833424196963614,5.745934995452368,18,high,7,18,add_lighting,2260.0
['North 3rd Street'],residential,105,10.241333174557015,67.96666666666667,7.280052501680714,10.020935809022912,18,severe,0,18,add_lighting_and_booth,2761.0
['Vine Street'],tertiary,110,8.706017000067643,64.90181818181819,7.503965204538522,10.250575121399685,18,severe,0,18,add_lighting_and_booth,3163.0
['Callowhill Street'],residential,80,7.227610806621524,68.50874999999999,8.26666714605236,10.887576714219767,18,severe,0,18,add_patrols,3041.0
['Arch Street'],residential,73,6.39517981699342,74.18767123287671,10.184781521194402,12.770326224788967,17,severe,0,17,add_lighting_and_booth,4374.0
['Tyson Avenue'],tertiary,113,11.751401281151589,49.31504424778761,4.619770080139084,6.491910259794774,17,severe,0,17,add_lighting_and_booth,2994.0
['Fox Street'],tertiary,40,5.501643643684277,75.625,7.595988390063416,10.869696339004713,16,severe,6,16,add_patrols,2346.0
['Belmont Avenue'],primary,56,7.959093002737673,69.51964285714286,7.723048792635965,9.58362531632571,16,severe,4,16,add_patrols,1324.0
['North 12th Street'],residential,109,12.868466753529038,72.44311926605505,9.233349648830199,11.885171043106027,16,severe,1,16,add_lighting_and_booth,4417.0
['North 11th Street'],residential,122,13.76567751819721,71.94344262295083,9.611630478311874,12.811189057809381,16,severe,0,16,full_intervention,3783.0
['North 22nd Street'],residential,115,9.041355788378555,76.26521739130435,9.122055608724732,12.48481505844431,16,severe,0,16,add_patrols,5227.0
['Old York Road'],tertiary,134,12.631550609519284,68.74179104477612,7.251490665509593,10.241116534167057,16,severe,0,16,add_patrols,7578.0
['Morris Street'],tertiary,103,9.107566713875814,75.50291262135923,9.270026029334115,11.897489480257939,15,severe,0,15,full_intervention,2257.0
['Richmond Street'],secondary,121,13.358016232218135,51.348760330578514,4.862209720280012,7.96164650611299,15,severe,2,15,add_lighting_and_booth,2954.0
['Wissahickon Avenue'],tertiary,90,12.428306889701245,57.73111111111111,5.804128815879598,7.755058337588914,15,severe,2,15,add_patrols,2658.0
['East Chelten Avenue'],tertiary,34,4.683359815527835,77.00294117647059,7.953459978684712,10.572076857202221,14,severe,2,14,add_patrols,1884.0
['Sansom Street'],residential,58,7.4295746398674005,69.21896551724137,9.88546294128758,14.313729251996763,14,severe,1,14,add_lighting_and_booth,3426.0
['Ogontz Avenue'],primary,106,10.763892928386772,70.36698113207547,6.971720369627074,9.072525910948388,14,severe,4,14,add_patrols,3464.0
['North 29th Street'],tertiary,86,7.767470813819287,78.22441860465116,8.732694400173285,11.782396566088279,14,severe,2,14,add_patrols,3140.0
['Wayne Avenue'],secondary,102,10.52474437528959,66.17058823529412,7.803061714054781,9.822376083257636,14,severe,0,14,add_patrols,3190.0
['Welsh Road'],tertiary,115,15.683354632876748,56.25913043478261,5.2758868507136025,7.365069330671471,14,severe,4,14,add_lighting_and_booth,2375.0
['Baltimore Avenue'],primary,100,8.349900627540745,76.457,9.17939611775815,11.59857802986175,14,severe,0,14,add_patrols,2349.0
['Pine Street'],residential,97,11.06736203009023,71.29484536082475,8.565549864613752,11.043991897201193,14,severe,0,14,add_patrols,3088.0
['Midvale Avenue'],tertiary,30,4.818658787001787,72.32333333333332,7.258384788772961,9.42074477557433,14,severe,6,14,add_patrols,642.0
['Kensington Avenue'],tertiary,104,8.735254427261514,96.57596153846154,21.089417977982237,39.13448855787267,14,severe,2,14,full_intervention,13134.0
['State Road'],primary,70,14.568765980611124,42.994285714285716,3.6879033581928606,5.335855420219137,13,moderate,3,13,add_lighting_and_booth,4111.0
['Lincoln Drive'],primary,70,12.90843328263682,53.59,5.145847436134044,7.63878670701665,13,severe,2,13,add_lighting,998.0
['North 8th Street'],residential,89,11.811722115539473,61.15393258426966,6.0913523144068416,8.635006485968887,13,severe,0,13,add_lighting_and_booth,3068.0
['Oxford Avenue'],primary,120,13.994649500816749,67.25666666666667,6.714358407260412,9.19246645618439,13,severe,0,13,add_patrols,4463.0
['Verree Road'],secondary,92,13.612403474614043,61.60108695652174,6.0118163121122485,7.679853815387686,13,high,2,13,add_patrols,1028.0
['North American Street'],tertiary,85,10.979461763501567,56.2364705882353,5.9022085894462055,7.992862056753969,12,severe,2,12,add_lighting_and_booth,1841.0
['North 7th Street'],residential,99,12.416398561648126,55.26161616161616,5.520334501342466,7.317408932227714,12,severe,1,12,add_lighting_and_booth,2892.0
['South Cobbs Creek Parkway'],primary,110,13.145737770787894,70.00181818181818,7.435536158517103,9.78369263672933,12,severe,0,12,add_patrols,2174.0
['Henry Avenue'],primary,115,17.843175490718853,59.12782608695652,5.918707295436396,8.436543260040047,12,severe,3,12,add_patrols,1449.0
['B Street'],residential,55,5.422508397692868,57.85090909090909,6.337871898533289,9.092398357466767,12,severe,4,12,add_lighting,2704.0
['Snyder Avenue'],secondary,129,8.153124365894115,82.12093023255814,10.69379315593093,13.74720720367047,12,severe,0,12,full_intervention,4197.0
['Cecil B Moore Avenue'],tertiary,119,8.315120555796033,90.3109243697479,14.514222497205662,18.423388836980006,12,severe,0,12,full_intervention,7871.0
['Torresdale Avenue'],tertiary,194,21.138515849594057,57.94329896907217,5.474796855355357,7.986071443762526,11,severe,0,11,add_lighting_and_booth,7149.0
['Race Street'],residential,89,6.742784633140135,71.19213483146068,9.497132673315985,12.713312614350173,11,severe,0,11,add_patrols,3036.0
['North 13th Street'],residential,119,12.67805498530081,64.10504201680672,7.409443057111049,10.389679568503244,11,severe,0,11,add_lighting_and_booth,5460.0
['Benjamin Franklin Parkway'],primary,28,3.98255327488831,66.8,7.313671645833951,9.990221056989387,11,severe,0,11,add_patrols,425.0
['Rhawn Street'],secondary,124,15.233296463640082,65.96209677419355,6.291988582583539,8.509138366078055,11,high,1,11,add_lighting_and_booth,2540.0
['South 58th Street'],tertiary,81,6.9938951569044505,75.2679012345679,8.32037666527879,11.466796135193936,11,severe,1,11,add_patrols,3062.0
['West Allegheny Avenue'],secondary,143,9.799341890040365,79.98461538461538,9.722611586050935,12.465050667630582,10,severe,2,10,add_patrols,5713.0
['West Olney Avenue'],tertiary,70,6.509372888396904,81.61285714285714,9.560677805770638,12.346919314142788,10,severe,0,10,add_patrols,3514.0
['North 15th Street'],residential,129,12.78420207337178,64.6922480620155,7.478531007451964,9.740030617580482,10,severe,0,10,add_lighting_and_booth,6506.0
['East Washington Lane'],secondary,70,7.7911025067035,63.042857142857144,5.994053639712042,8.459803079005964,10,severe,0,10,add_lighting_and_booth,1954.0
['East Hunting Park Avenue'],secondary,60,6.367846811790804,76.60833333333333,8.084060523742933,10.977230832425088,10,severe,2,10,add_patrols,3246.0
['Algon Avenue'],tertiary,96,10.40137549642715,57.43541666666667,5.154366861639947,7.4707562976858695,10,high,0,10,add_lighting_and_booth,1648.0
['Academy Road'],secondary,87,15.62895928901518,45.150574712643675,4.500099928795907,6.327504222093239,10,severe,1,10,add_lighting,1501.0
['North 10th Street'],residential,125,13.622298511862098,65.7488,8.571281010768946,11.168138245490107,10,severe,0,10,add_lighting_and_booth,4032.0
['North 60th Street'],tertiary,42,4.648337005512914,62.188095238095244,6.497178845351264,8.623038542413607,10,severe,0,10,add_lighting_and_booth,1668.0
['Lindbergh Boulevard'],secondary,142,16.09821434042968,34.095774647887325,3.4600270586690502,4.850939502842954,10,severe,1,10,add_lighting,1341.0
['Morrell Avenue'],tertiary,41,4.711893841768734,67.22682926829269,6.023514223361879,9.087574617995918,10,high,2,10,add_patrols,298.0
['Buist Avenue'],tertiary,81,7.461887563723026,71.1469135802469,8.030723777217874,11.188526886547459,10,severe,0,10,add_patrols,2193.0
['Oregon Avenue'],primary,110,6.462136062622685,70.53181818181818,7.547464324979023,10.512450719013277,10,severe,0,10,add_patrols,3620.0
['Palethorp Street'],residential,42,4.567057182424044,59.273809523809526,5.875037160842644,7.556647210908169,10,high,0,10,add_patrols,532.0
['Lombard Street'],tertiary,40,3.4113359292470293,87.705,12.77671402848915,17.013069021879417,9,severe,0,9,full_intervention,720.0
['Tabor Avenue'],residential,86,9.058459963953881,50.88953488372093,5.029057925661635,6.366533437008172,9,severe,0,9,add_lighting,1122.0
['Chester Avenue'],tertiary,85,7.667630848087776,64.95882352941176,6.967033001961232,9.119682857362172,9,severe,2,9,add_lighting_and_booth,3053.0
['South 22nd Street'],secondary,76,4.7315366602319155,88.18947368421053,11.384206047439784,14.98586674821829,9,severe,0,9,full_intervention,1556.0
['South 21st Street'],secondary,69,4.43885184659316,90.01304347826087,13.115305361760354,16.508423704522375,9,severe,0,9,full_intervention,1641.0
['Levick Street'],secondary,92,9.06628000562274,66.27934782608695,7.271158912906615,9.366542693091011,9,severe,2,9,add_patrols,2425.0
['Kingsessing Avenue'],tertiary,79,6.446353489118871,69.02025316455696,8.590362599849842,10.732063663662228,9,severe,0,9,full_intervention,2702.0
['North 18th Street'],residential,118,10.661514673309599,62.15423728813559,7.009481104260115,9.160877832306104,9,severe,0,9,add_lighting_and_booth,3767.0
['West Chelten Avenue'],tertiary,14,2.4262345176313933,76.89999999999999,8.39923940236837,10.713019553002917,9,severe,2,9,add_patrols,2044.0
['North Orkney Street'],residential,19,2.7496378020142926,66.17894736842106,6.632821027475921,8.8896652513456,9,severe,0,9,add_patrols,849.0
['West Walnut Lane'],tertiary,34,6.566007058167672,58.09411764705882,5.465428041524139,7.5830237947053645,9,severe,2,9,add_lighting_and_booth,927.0
['Belfield Avenue'],residential,60,8.110436926038833,56.16,5.854716090299726,7.919464309917545,9,severe,2,9,add_patrols,1516.0
['North 4th Street'],residential,96,9.844552471819537,59.659375000000004,5.895760928299456,7.9026208486813525,9,severe,0,9,add_lighting_and_booth,2400.0
['Leverington Avenue'],tertiary,32,3.787876640413521,83.86875,10.587975898059266,13.655189455420224,9,severe,0,9,full_intervention,480.0
['North 20th Street'],residential,166,13.362140389462544,56.08855421686747,5.600251910396812,7.492563453740923,9,severe,0,9,add_lighting_and_booth,4239.0
['Tasker Street'],tertiary,79,4.811033735117446,83.60759493670886,10.357310656490075,13.780513888494141,9,severe,0,9,full_intervention,1637.0
['West Diamond Street'],secondary,43,3.258848318618191,94.76511627906977,12.982167787708807,19.062409617138552,8,severe,0,8,full_intervention,2935.0
['Red Lion Road'],primary,60,11.693898715838012,40.005,3.6702792845448378,5.34853005795421,8,severe,3,8,add_lighting,1611.0
['Roberts Avenue'],secondary,30,4.617378135499628,58.406666666666666,6.444046581100409,8.362288799814973,8,severe,0,8,add_lighting,1121.0
['Bainbridge Street'],tertiary,53,3.7137427299066847,77.51132075471699,8.85278112799485,12.105277688292995,8,severe,0,8,full_intervention,693.0
['Passyunk Avenue'],primary,88,9.76678726115952,61.15909090909091,7.956270838579639,9.981426531110916,8,severe,1,8,add_patrols,1700.0
['Delaware Expressway'],motorway,48,62.954451560003456,0.8729166666666667,0.12430460366570421,0.493937077885465,8,low,0,8,add_lighting,125.0
['Martin Luther King Junior Drive'],secondary,17,11.246216273752092,34.69411764705882,3.8140539662579793,5.611817030609017,8,severe,2,8,add_lighting,603.0
['Elmwood Avenue'],tertiary,92,7.236845890922979,77.21630434782608,9.387985591455811,11.974282154577509,8,severe,0,8,add_patrols,3834.0
['Fairmount Avenue'],residential,111,9.957808114080116,72.29009009009009,8.091524659475963,10.288608747271748,8,severe,0,8,add_patrols,3800.0
['Harbison Avenue'],primary,81,8.85500908419853,47.47901234567902,5.300833030929725,6.945992867683978,8,severe,4,8,add_lighting,1181.0
['John F. Kennedy Boulevard'],primary,13,2.990206173720367,70.76923076923077,9.76497084376763,13.49042795392156,8,severe,1,8,full_intervention,1133.0
['North 16th Street'],residential,130,12.120897505523029,65.51846153846154,7.233346582718238,10.091615978715742,8,severe,0,8,add_lighting_and_booth,4281.0
['West Glenwood Avenue'],secondary,126,9.773038712253198,71.68809523809524,7.9852706707822225,10.483614931006908,8,severe,0,8,add_patrols,2470.0
['North 57th Street'],tertiary,74,5.957830041616677,68.12567567567568,8.817523134486807,11.227526838953374,8,severe,0,8,full_intervention,2094.0
['Mascher Street'],residential,83,8.063761290209001,60.03493975903614,5.890447609738345,7.665935189942784,7,severe,0,7,add_lighting_and_booth,1929.0
['West School House Lane'],residential,28,6.533211406404329,47.175000000000004,4.511002587893096,5.939589457434539,7,high,2,7,add_lighting,1105.0
['Holme Avenue'],secondary,37,6.362853298915243,60.891891891891895,6.72478278695055,8.534099803310918,7,severe,0,7,add_patrols,217.0
['South Concourse Drive'],tertiary,12,3.2953390112763703,50.68333333333334,5.037620043862499,6.752038865902246,6,severe,0,6,add_lighting,82.0
['North Reese Street'],residential,29,3.489142014534572,58.98620689655172,5.836582620545981,8.131308666227655,6,severe,0,6,add_lighting_and_booth,874.0
['North Randolph Street'],residential,21,2.7810250585267826,68.27619047619048,6.903201048353132,9.645637643808366,6,severe,0,6,add_lighting_and_booth,430.0
['North Fairhill Street'],residential,42,5.885665036188308,52.25,5.056122274111457,6.513368063652621,6,high,0,6,add_lighting_and_booth,1035.0
['Pattison Avenue'],primary,28,6.478863938692764,43.375,3.7560003152439974,6.44564130357224,6,severe,2,6,add_lighting,1176.0
['West Washington Lane'],secondary,14,1.8356206482086137,85.58571428571429,10.246978786513797,12.448098714626411,6,severe,2,6,add_patrols,300.0
['North Lawrence Street'],residential,62,6.935518876614317,55.76774193548387,5.347201499649873,7.023350404470344,6,severe,0,6,add_lighting_and_booth,1362.0
['North 19th Street'],residential,127,10.59713025406266,66.50157480314961,7.523285133148771,10.162993242558118,6,severe,0,6,add_lighting_and_booth,3795.0
['South 25th Street'],tertiary,101,8.518535847049797,56.14554455445544,5.79411270924119,8.132516716346263,6,severe,0,6,add_lighting,1375.0
['Limekiln Pike'],tertiary,82,7.543789309125206,53.28780487804878,5.107530966384785,7.508714376550188,6,severe,0,6,add_lighting_and_booth,1416.0
['West Rittenhouse Street'],tertiary,15,2.3486821796181427,80.01333333333334,9.537636901499857,11.979654634394995,6,severe,2,6,add_patrols,1082.0
['West Lehigh Avenue'],primary,140,9.77142048080875,86.29642857142858,10.645059628969253,15.115240824120892,6,severe,0,6,add_patrols,8854.0
['West Johnson Street'],tertiary,16,3.1154277897923857,69.46875,8.326571839681257,9.872712501233977,6,severe,0,6,add_patrols,404.0
['West Luzerne Street'],tertiary,41,3.903002433853765,76.84390243902439,8.84138249462501,12.157323142269837,6,severe,4,6,full_intervention,1736.0
['Ford Road'],secondary,13,3.3888589327753036,63.04615384615385,6.098111093238933,8.914426875895423,6,severe,2,6,add_patrols,486.0
['Grant Avenue'],primary,95,14.443674631130541,35.242105263157896,3.3852932585082893,4.706316229302298,6,severe,0,6,add_lighting,1522.0
['South Front Street'],tertiary,93,8.338220441938716,70.28494623655914,7.9693535835595775,10.345747623211214,6,severe,0,6,add_patrols,2244.0
['Knights Road'],primary,47,8.090563295315855,38.246808510638296,4.087529542281816,5.372595128017915,6,severe,2,6,add_lighting,593.0
['Large Street'],tertiary,132,12.095545519450502,61.26136363636363,6.038226963143533,8.276009740765861,6,severe,6,6,add_lighting_and_booth,2697.0
['Lower South 30th Street' 'Ludlow Street' 'Lower Walnut Street'],unclassified,2,1.133271220263237,78.6,6.19270309368598,13.137435022282226,6,high,2,6,add_patrols,228.0
['Main Street'],tertiary,28,4.921000131436927,86.62857142857142,17.051304163673127,22.486837424501356,6,severe,0,6,full_intervention,652.0
['Larchwood Avenue'],residential,48,6.451393587202286,59.768750000000004,5.729227166829452,7.445351780543548,6,severe,0,6,add_lighting_and_booth,1410.0
['Florence Avenue'],tertiary,25,2.978383122897147,52.632,4.624491527344752,7.057515867337215,6,high,0,6,add_lighting_and_booth,778.0
['South 67th Street'],residential,46,4.632267049763568,49.71739130434783,4.882733871577629,6.739225926307307,6,severe,0,6,add_lighting,1916.0
['East Price Street'],residential,28,3.4679802673629703,47.857142857142854,4.437275445832781,5.97816453590606,5,high,0,5,add_lighting,856.0
['Conshohocken Avenue'],secondary,18,3.349319457200474,60.31666666666667,7.0137982897239,8.994308897113026,5,severe,1,5,add_lighting,1042.0
['Filbert Street'],residential,33,3.3199709032007028,69.9969696969697,10.185231117526216,15.696479165778703,5,severe,0,5,add_lighting_and_booth,2179.0
['Haldeman Avenue'],secondary,33,4.11432227664134,34.06060606060606,3.14404342645861,4.890000479694883,5,high,0,5,add_lighting,344.0
['South 34th Street'],primary,21,2.565665986867545,75.62380952380951,10.278753768089132,16.170801729436622,5,severe,3,5,add_patrols,843.0
['Stenton Avenue'],primary,137,11.851062323920882,60.607299270073,5.9247272713217445,8.384418751429708,5,severe,0,5,add_lighting_and_booth,3577.0
['Chew Avenue'],tertiary,74,6.646527428745291,75.2945945945946,8.200413486067106,10.659286142627831,5,severe,2,5,add_patrols,3180.0
['Springfield Avenue'],tertiary,65,5.170536940681921,70.31076923076922,7.215545391518611,9.67179851828743,5,severe,0,5,add_patrols,1937.0
['North Hope Street'],residential,8,1.258773891702403,77.3625,8.140924985690154,11.118670833341064,5,severe,0,5,add_patrols,394.0
['North Gratz Street'],residential,31,4.232839074420074,54.99677419354839,5.318388010677123,7.106821245732947,5,severe,0,5,add_lighting_and_booth,1007.0
['West Dauphin Street'],tertiary,72,4.7209167039286974,87.14583333333333,12.787524625970853,16.49177887490159,5,severe,1,5,full_intervention,2442.0
['North 26th Street'],residential,67,4.607220613826244,68.94477611940299,7.104534283369477,9.729904454704027,5,severe,0,5,add_lighting_and_booth,1558.0
['Poplar Street'],secondary,113,8.285749385823575,77.51858407079646,10.109788104129569,13.62545875270386,5,severe,0,5,full_intervention,3913.0
['Locust Street'],residential,104,9.607677867084398,66.06634615384615,9.544253574486113,12.87606393783372,5,severe,0,5,add_lighting_and_booth,4107.0
['Greene Street'],residential,87,9.596649385451736,66.62758620689655,6.86096659131795,8.626192433297469,5,severe,0,5,add_patrols,3000.0
['West York Street'],tertiary,82,4.654022213475613,81.59634146341463,10.28645994419884,14.466213105797227,5,severe,0,5,full_intervention,2525.0
['North Park Avenue'],residential,60,5.733910554980484,59.07833333333333,5.8856485409505135,7.900979203071355,5,severe,0,5,add_lighting_and_booth,2058.0
['North Sydenham Street'],residential,35,4.810551228250778,53.36857142857143,5.156713462675313,6.485744107252966,5,high,0,5,add_lighting_and_booth,994.0
['Manayunk Avenue'],tertiary,52,4.592341561285798,70.99038461538461,7.6008931057862466,10.48919525211207,5,severe,0,5,add_lighting_and_booth,486.0
['North 21st Street'],residential,98,10.0379118989562,60.046938775510206,6.347458861645919,8.297315686390066,5,severe,0,5,add_lighting_and_booth,2963.0
['West Godfrey Avenue'],primary,78,6.2139564904007045,63.70384615384615,6.521490703294305,8.100738801316837,4,severe,2,4,add_patrols,1888.0
['Chamounix Drive'],tertiary,11,4.116297241292641,22.80909090909091,2.0013700668300305,3.0737176506514357,4,low,0,4,add_lighting,310.0
['East Lehigh Avenue'],primary,60,4.563436801275761,83.52166666666668,10.930347187135734,15.220332957414403,4,severe,0,4,full_intervention,2594.0
['East Luzerne Street'],residential,52,5.712804369936868,56.23461538461538,4.881209152177494,8.265547959131291,4,severe,2,4,add_lighting_and_booth,2488.0
['Umbria Street'],secondary,24,2.7979566834279015,81.53750000000001,9.982264685021745,14.165894649734748,4,severe,0,4,add_patrols,278.0
['East Chestnut Hill Avenue'],residential,7,1.0723072718557847,60.48571428571428,5.753459070507611,9.017153192354664,4,high,0,4,add_patrols,60.0
['Borbeck Avenue'],residential,33,5.439453873798943,45.04242424242425,4.77845900425855,5.820934463462601,4,severe,0,4,add_lighting,442.0
['Essington Avenue'],primary,18,6.609821729948925,35.48333333333333,3.5847061038117434,5.236412553293362,4,severe,2,4,add_lighting,578.0
['South University Avenue'],primary,14,1.895251436624164,61.73571428571429,6.662458343806779,9.639952990126321,4,severe,0,4,add_lighting,279.0
['Monument Road'],tertiary,17,3.486443946663973,59.3235294117647,6.0692238935809435,8.073658242468277,4,severe,0,4,add_lighting,277.0
['Lancaster Avenue'],primary,124,12.649667676267505,66.07096774193548,7.619576745646058,10.795291018241121,4,severe,0,4,full_intervention,5342.0
['Eastwick Avenue'],tertiary,24,2.3662053279227937,54.1875,5.3354069672102105,7.357597729065833,4,high,0,4,add_patrols,488.0
['South Christopher Columbus Boulevard'],primary,35,7.866227098272729,35.19714285714286,3.5002051007202817,4.843113321099845,4,severe,2,4,add_lighting,1551.0
['South 6th Street'],tertiary,66,4.004150514991308,89.96060606060605,14.061198613263754,17.969131224497985,4,severe,0,4,full_intervention,1410.0
['Green Lane'],secondary,30,2.9020075831113,81.03666666666666,10.898559254011694,13.534150616714324,4,severe,0,4,full_intervention,468.0
['South 61st Street'],residential,87,8.878154645080354,58.227586206896554,5.8474460780774775,7.414948840472357,4,severe,2,4,add_patrols,2601.0
['South 63rd Street'],residential,38,3.889568298351158,73.1236842105263,7.955103309663427,10.643874627652096,4,severe,0,4,add_patrols,1506.0
['Thomas Avenue'],tertiary,22,1.997412703260867,64.14545454545454,6.575625691124282,8.251776816768606,4,severe,0,4,add_lighting_and_booth,430.0
['Erie Avenue'],primary,31,2.301408269959581,91.1741935483871,14.340312457967446,19.79076489909015,4,severe,0,4,full_intervention,2223.0
['North 25th Street'],residential,69,5.040946607074216,69.15942028985508,7.586572144626682,10.202256683873143,4,severe,2,4,add_patrols,1969.0
['North Bouvier Street'],residential,28,3.8602056764600365,48.03214285714285,4.488575318249398,5.728929794277646,4,high,0,4,add_lighting_and_booth,797.0
['West Bells Mill Road'],tertiary,4,4.492067241696094,30.2,2.222198536574448,4.3426373696122,4,moderate,0,4,add_lighting,230.0
['North 52nd Street'],secondary,89,7.940734290025016,70.80337078651685,8.396371511976024,11.938724880560038,4,severe,2,4,full_intervention,4203.0
['North 56th Street'],residential,72,6.841685704014736,41.78194444444445,4.115209200467654,5.381130844288364,4,severe,0,4,add_lighting,2654.0
['North 33rd Street'],primary,80,7.223890740686792,66.3225,6.929578769521551,10.155790885378146,4,severe,0,4,add_patrols,1965.0
['North 27th Street'],residential,56,4.690332653132826,54.35892857142857,5.3469096279268715,7.024875400311143,4,severe,0,4,add_patrols,1762.0
